generated_tokens,gamma,delta,green_fraction,z_score,p_value,prediction
75,0.1,5.0,0.8933333333333333,22.901560677855155,0.0,True
80,0.1,5.0,0.8875,23.47871376374779,0.0,True
85,0.1,5.0,0.8941176470588236,24.404676504598818,0.0,True
90,0.1,5.0,0.8888888888888888,24.946857096883882,0.0,True
95,0.1,5.0,0.8947368421052632,25.820455194143044,0.0,True
100,0.1,5.0,0.89,26.333333333333332,0.0,True
105,0.1,5.0,0.8952380952380953,27.16255203040084,0.0,True
110,0.1,5.0,0.8909090909090909,27.650415088122173,0.0,True
115,0.1,5.0,0.8869565217391304,28.130561715249463,0.0,True
120,0.1,5.0,0.8916666666666667,28.907579423883764,0.0,True
125,0.1,5.0,0.888,29.367026104497235,0.0,True
130,0.1,5.0,0.8923076923076924,30.112325329541335,0.0,True
135,0.1,5.0,0.8888888888888888,30.553535286747397,0.0,True
140,0.1,5.0,0.8928571428571429,31.270707424955113,0.0,True
145,0.1,5.0,0.8896551724137931,31.695691477510756,0.0,True
150,0.1,5.0,0.8933333333333333,32.38769771013313,0.0,True
155,0.1,5.0,0.8903225806451613,32.79812259685203,0.0,True
160,0.1,5.0,0.8875,33.20391543176798,0.0,True
165,0.1,5.0,0.8909090909090909,33.86470407102625,0.0,True
170,0.1,5.0,0.888235294117647,34.25776950184921,0.0,True
175,0.1,5.0,0.8914285714285715,34.898719674518645,0.0,True
180,0.1,5.0,0.8888888888888888,35.28018364499668,0.0,True
185,0.1,5.0,0.8918918918918919,35.90298071224761,0.0,True
190,0.1,5.0,0.8894736842105263,36.27381250550058,0.0,True
195,0.1,5.0,0.8923076923076924,36.879916013030794,0.0,True
200,0.1,5.0,0.89,37.2409571424915,0.0,True
205,0.1,5.0,0.8878048780487805,37.598830922262295,0.0,True
210,0.1,5.0,0.8904761904761904,38.1836276169436,0.0,True
5,0.1,5.0,1.0,6.708203932499369,9.851675031313789e-12,True
10,0.1,5.0,0.8,7.378647873726218,7.993605777301127e-14,True
15,0.1,5.0,0.7333333333333333,8.17629817532677,2.220446049250313e-16,True
20,0.1,5.0,0.8,10.434983894999018,0.0,True
25,0.1,5.0,0.8,11.666666666666666,0.0,True
30,0.1,5.0,0.7333333333333333,11.563031769553506,0.0,True
35,0.1,5.0,0.7142857142857143,12.113877651108737,0.0,True
40,0.1,5.0,0.7,12.649110640673518,0.0,True
45,0.1,5.0,0.6888888888888889,13.167955867498762,0.0,True
50,0.1,5.0,0.72,14.613540144521984,0.0,True
55,0.1,5.0,0.7272727272727273,15.506596836654566,0.0,True
60,0.1,5.0,0.7,15.491933384829666,0.0,True
65,0.1,5.0,0.676923076923077,15.504341823651055,0.0,True
70,0.1,5.0,0.7,16.73320053068151,0.0,True
75,0.1,5.0,0.72,17.897858344878397,0.0,True
80,0.1,5.0,0.7375,19.00657780874821,0.0,True
85,0.1,5.0,0.7411764705882353,19.7045165851946,0.0,True
90,0.1,5.0,0.7444444444444445,20.379122698862886,0.0,True
95,0.1,5.0,0.7578947368421053,21.374549001774046,0.0,True
100,0.1,5.0,0.76,22.0,0.0,True
105,0.1,5.0,0.7714285714285715,22.93365171429053,0.0,True
110,0.1,5.0,0.7818181818181819,23.836564731139806,0.0,True
115,0.1,5.0,0.782608695652174,24.40054248228821,0.0,True
120,0.1,5.0,0.7916666666666666,25.25609570718266,0.0,True
125,0.1,5.0,0.8,26.087459737497547,0.0,True
130,0.1,5.0,0.8,26.60409325231322,0.0,True
135,0.1,5.0,0.8074074074074075,27.397771078726542,0.0,True
140,0.1,5.0,0.8142857142857143,28.17180849095055,0.0,True
145,0.1,5.0,0.8137931034482758,28.65069054954029,0.0,True
150,0.1,5.0,0.82,29.393876913398135,0.0,True
155,0.1,5.0,0.8258064516129032,30.120724833843706,0.0,True
160,0.1,5.0,0.825,30.568684048294333,0.0,True
165,0.1,5.0,0.8303030303030303,31.26970759048784,0.0,True
170,0.1,5.0,0.8352941176470589,31.9568745353071,0.0,True
175,0.1,5.0,0.8342857142857143,32.3789565211238,0.0,True
180,0.1,5.0,0.8388888888888889,33.0441156674969,0.0,True
