generated_tokens,gamma,delta,perplexity,green_fraction,z_score,p_value,prediction
200,0.25,2.0,1.7385857510330778,0.595,11.26765281680262,0.0,True
200,0.25,2.0,12.903581906979808,0.665,13.553843243400252,0.0,True
200,0.25,2.0,8.786088368224153,0.625,12.24744871391589,0.0,True
200,0.25,2.0,7.773324281970605,0.64,12.737346662472527,0.0,True
200,0.25,2.0,13.32254638754478,0.63,12.410748030101436,0.0,True
200,0.25,2.0,2.9530712315401035,0.6,11.430952132988164,0.0,True
200,0.25,2.0,8.374800334311741,0.75,16.32993161855452,0.0,True
200,0.25,2.0,6.996991867182531,0.645,12.900645978658071,0.0,True
200,0.25,2.0,2.9243314558529376,0.49,7.8383671769061705,2.220446049250313e-15,True
200,0.25,2.0,6.229597242164554,0.6,11.430952132988164,0.0,True
200,0.25,2.0,13.036990121157206,0.55,9.797958971132713,0.0,True
200,0.25,2.0,6.206248079077533,0.69,14.370339824327978,0.0,True
200,0.25,2.0,13.67230507772601,0.7,14.696938456699069,0.0,True
200,0.25,2.0,33.75262136876228,0.705,14.860237772884615,0.0,True
200,0.25,2.0,2.9255359474483895,0.695,14.533639140513523,0.0,True
200,0.25,2.0,5.859730457449783,0.62,12.084149397730345,0.0,True
200,0.5,2.0,8.590585300231165,0.805,8.626702730475879,0.0,True
200,0.5,2.0,7.923719113941232,0.835,9.475230867899736,0.0,True
200,0.5,2.0,5.799611656166818,0.895,11.17228714274745,0.0,True
200,0.5,2.0,10.006444715927543,0.855,10.040916292848975,0.0,True
200,0.5,2.0,8.594321819572144,0.81,8.76812408671319,0.0,True
200,0.5,2.0,8.325293763915672,0.795,8.34386001800126,0.0,True
200,0.5,2.0,8.421370912128193,0.775,7.7781745930520225,3.6637359812630166e-15,True
200,0.5,2.0,7.006871690705654,0.79,8.202438661763951,1.1102230246251565e-16,True
200,0.5,2.0,7.678652459915766,0.815,8.909545442950499,0.0,True
200,0.5,2.0,2.6765504787204555,0.915,11.737972567696689,0.0,True
200,0.5,2.0,11.847934281166875,0.845,9.758073580374356,0.0,True
200,0.5,2.0,12.061788684039307,0.87,10.465180361560902,0.0,True
200,0.5,2.0,4.064062076741016,0.82,9.050966799187808,0.0,True
200,0.5,2.0,2.1504234353253717,0.72,6.222539674441618,2.4458546299399586e-10,True
200,0.5,2.0,2.07202069149231,0.925,12.020815280171307,0.0,True
200,0.5,2.0,10.693960302114618,0.82,9.050966799187808,0.0,True
200,0.5,2.0,5.228359455954318,0.825,9.192388155425117,0.0,True
200,0.25,5.0,2.291557981246892,0.925,22.045407685048602,0.0,True
200,0.25,5.0,4.607239557188523,0.88,20.575713839378697,0.0,True
200,0.25,5.0,3.943972355448778,0.965,23.351802214532967,0.0,True
200,0.25,5.0,3.700209310008949,0.95,22.861904265976328,0.0,True
200,0.25,5.0,4.841794916771011,0.87,20.249115207007605,0.0,True
