generated_tokens,gamma,delta,perplexity,green_fraction,z_score,p_value,prediction
200,0.25,1.0,4.341549122158677,0.465,7.021870595978444,1.0945688799779418e-12,True
200,0.25,1.0,5.503284661707748,0.43,5.878775382679628,2.066563808966748e-09,True
200,0.25,1.0,8.83486517104349,0.535,9.308061022576076,0.0,True
200,0.25,1.0,12.193358444237301,0.485,7.675067860720625,8.215650382226158e-15,True
200,0.25,1.0,7.463533875960295,0.455,6.695271963607354,1.0763612223740893e-11,True
200,0.25,1.0,6.800800444320744,0.385,4.409081537009721,5.190496920048915e-06,True
200,0.25,1.0,8.442451845582575,0.375,4.08248290463863,2.2278545302012454e-05,True
200,0.25,1.0,1.9781844287520887,0.585,10.941054184431529,0.0,True
200,0.25,1.0,9.434618373362293,0.445,6.368673331236264,9.533507316916712e-11,True
200,0.25,1.0,7.034981722537857,0.455,6.695271963607354,1.0763612223740893e-11,True
200,0.25,1.0,7.7180659926686195,0.465,7.021870595978444,1.0945688799779418e-12,True
200,0.25,1.0,5.286041771082196,0.43,5.878775382679628,2.066563808966748e-09,True
200,0.25,1.0,11.074069503202226,0.47,7.185169912163989,3.356204203441848e-13,True
200,0.25,1.0,3.0163010919246633,0.39,4.572380853195265,2.411067157592761e-06,True
200,0.25,1.0,10.208092920622626,0.47,7.185169912163989,3.356204203441848e-13,True
200,0.25,1.0,5.290810055773491,0.45,6.531972647421808,3.2454483545052426e-11,True
200,0.25,1.0,5.621629508391365,0.4,4.898979485566357,4.816785043049165e-07,True
200,0.25,1.0,6.824381236250348,0.46,6.858571279792899,3.4776626023358403e-12,True
200,0.25,1.0,3.9831870778276346,0.465,7.021870595978444,1.0945688799779418e-12,True
200,0.25,1.0,5.005910401580737,0.395,4.735680169380811,1.0916082668899207e-06,True
200,0.25,1.0,7.677729574016426,0.35,3.265986323710904,0.0005454175880625911,False
200,0.25,1.0,6.737474304940804,0.415,5.388877434122992,3.5449567614698196e-08,True
200,0.25,1.0,7.550346482155175,0.44,6.205374015050718,2.7283486581097804e-10,True
200,0.25,1.0,4.510951192208332,0.39,4.572380853195265,2.411067157592761e-06,True
200,0.25,1.0,8.811090183026542,0.465,7.021870595978444,1.0945688799779418e-12,True
200,0.25,1.0,9.5253884508178,0.39,4.572380853195265,2.411067157592761e-06,True
200,0.25,1.0,6.56733480810986,0.395,4.735680169380811,1.0916082668899207e-06,True
200,0.25,1.0,1.5813580829320824,0.54,9.471360338761622,0.0,True
200,0.25,1.0,4.471189938525444,0.475,7.3484692283495345,1.0025313912365164e-13,True
200,0.25,1.0,6.599878215692768,0.445,6.368673331236264,9.533507316916712e-11,True
200,0.25,1.0,5.497850979611872,0.49,7.8383671769061705,2.220446049250313e-15,True
200,0.25,1.0,5.719755666371036,0.365,3.7558842722675396,8.636525148408847e-05,False
200,0.25,1.0,9.085015842463338,0.425,5.715476066494082,5.469865893559245e-09,True
200,0.25,1.0,4.988462459820723,0.405,5.062278801751901,2.071372966483409e-07,True
200,0.25,1.0,4.871238317727651,0.455,6.695271963607354,1.0763612223740893e-11,True
200,0.25,1.0,6.269582242447423,0.38,4.245782220824175,1.0891606577856372e-05,True
200,0.25,1.0,7.1322539242900325,0.455,6.695271963607354,1.0763612223740893e-11,True
200,0.25,1.0,6.712952500228116,0.465,7.021870595978444,1.0945688799779418e-12,True
200,0.25,1.0,6.530264369662098,0.43,5.878775382679628,2.066563808966748e-09,True
200,0.25,1.0,8.35147001007944,0.415,5.388877434122992,3.5449567614698196e-08,True
200,0.25,1.0,18.633004845765836,0.51,8.49156444164835,0.0,True
200,0.25,1.0,8.333640897111955,0.415,5.388877434122992,3.5449567614698196e-08,True
200,0.25,1.0,5.509459119209084,0.4,4.898979485566357,4.816785043049165e-07,True
200,0.25,1.0,6.801927193273297,0.485,7.675067860720625,8.215650382226158e-15,True
200,0.25,1.0,6.065320481862313,0.48,7.511768544535079,2.90878432451791e-14,True
200,0.5,1.0,6.926198117148987,0.735,6.646803743153546,1.4976242468378587e-11,True
200,0.5,1.0,7.346820952148052,0.635,3.8183766184073566,6.716636997028402e-05,False
200,0.5,1.0,7.890442131089713,0.68,5.091168824543142,1.7793149642564288e-07,True
200,0.5,1.0,7.307134221981848,0.62,3.394112549695428,0.00034425694832251885,False
200,0.5,1.0,10.58484932348965,0.695,5.5154328932550705,1.739612431883586e-08,True
200,0.5,1.0,7.487948092623824,0.8,8.48528137423857,0.0,True
200,0.5,1.0,5.7328894780822965,0.695,5.5154328932550705,1.739612431883586e-08,True
200,0.5,1.0,5.564440372175011,0.715,6.081118318204308,5.967358829295222e-10,True
200,0.5,1.0,6.73887451947337,0.765,7.495331880577403,3.3084646133829665e-14,True
200,0.5,1.0,4.528723408451828,0.625,3.5355339059327373,0.00020347600872250293,False
200,0.5,1.0,6.588846240313105,0.66,4.525483399593904,3.012880575914423e-06,True
200,0.5,1.0,11.190802142420564,0.665,4.666904755831213,1.528854898236176e-06,True
200,0.5,1.0,3.1328262535901206,0.66,4.525483399593904,3.012880575914423e-06,True
