generated_tokens,gamma,delta,green_fraction,z_score,p_value,prediction
50,0.25,5.0,0.9,10.614455552060438,0.0,True
55,0.25,5.0,0.8909090909090909,10.976835112677474,0.0,True
60,0.25,5.0,0.9,11.627553482998906,0.0,True
65,0.25,5.0,0.8923076923076924,11.95911839645853,0.0,True
70,0.25,5.0,0.9,12.559193180030848,0.0,True
75,0.25,5.0,0.9066666666666666,13.133333333333333,0.0,True
80,0.25,5.0,0.9,13.426342266852378,0.0,True
85,0.25,5.0,0.8941176470588236,13.714311974764774,0.0,True
90,0.25,5.0,0.9,14.24078649513432,0.0,True
95,0.25,5.0,0.9052631578947368,14.749487056201398,0.0,True
100,0.25,5.0,0.89,14.780166891254416,0.0,True
105,0.25,5.0,0.8952380952380953,15.269120202095198,0.0,True
110,0.25,5.0,0.9,15.743781841306957,0.0,True
115,0.25,5.0,0.9043478260869564,16.205295251950783,0.0,True
120,0.25,5.0,0.9,16.443843832875572,0.0,True
125,0.25,5.0,0.888,16.47308916586888,0.0,True
130,0.25,5.0,0.8923076923076924,16.912747430297234,0.0,True
135,0.25,5.0,0.8962962962962963,17.341949425498367,0.0,True
140,0.25,5.0,0.9,17.761381327663305,0.0,True
145,0.25,5.0,0.903448275862069,18.17165912629606,0.0,True
150,0.25,5.0,0.9066666666666666,18.57333811916665,0.0,True
155,0.25,5.0,0.9096774193548388,18.966920836590884,0.0,True
160,0.25,5.0,0.9125,19.35286369851587,0.0,True
165,0.25,5.0,0.9151515151515152,19.731582641424215,0.0,True
170,0.25,5.0,0.9176470588235294,20.10345790176017,0.0,True
175,0.25,5.0,0.92,20.468838104136086,0.0,True
180,0.25,5.0,0.9222222222222224,20.828043772937665,0.0,True
185,0.25,5.0,0.9243243243243244,21.18137036290264,0.0,True
190,0.25,5.0,0.9263157894736842,21.52909088619315,0.0,True
195,0.25,5.0,0.9230769230769232,21.70607855311148,0.0,True
200,0.25,5.0,0.925,22.0454076850486,0.0,True
5,0.25,5.0,0.8,2.840187787218772,0.002254349182452,False
10,0.25,5.0,0.8,4.016632088371218,2.951789024796536e-05,True
15,0.25,5.0,0.8666666666666667,5.515634344499481,1.7376207472885596e-08,True
20,0.25,5.0,0.9,6.713171133426189,9.521938793000118e-12,True
25,0.25,5.0,0.88,7.274613391789284,1.7363888105137448e-13,True
30,0.25,5.0,0.9,8.221921916437786,1.1102230246251563e-16,True
35,0.25,5.0,0.9142857142857144,9.075870678421358,0.0,True
40,0.25,5.0,0.925,9.85900603509299,0.0,True
