generated_tokens,gamma,delta,perplexity,green_fraction,z_score,p_value,prediction
200,0.25,1.0,10.058242220329264,0.38,4.245782220824175,1.0891606577856372e-05,True
200,0.25,1.0,5.327741433211961,0.42,5.552176750308537,1.4106705359395733e-08,True
200,0.25,1.0,3.1959705801403455,0.38,4.245782220824175,1.0891606577856372e-05,True
200,0.25,1.0,8.064278394772286,0.485,7.675067860720625,8.215650382226158e-15,True
200,0.25,1.0,6.8074741470797075,0.405,5.062278801751901,2.071372966483409e-07,True
200,0.25,1.0,6.589787490721638,0.37,3.9191835884530852,4.4424709557233655e-05,False
200,0.25,1.0,8.939181931416107,0.45,6.531972647421808,3.2454483545052426e-11,True
200,0.25,1.0,5.262238665984485,0.425,5.715476066494082,5.469865893559245e-09,True
200,0.25,1.0,14.908688805559152,0.54,9.471360338761622,0.0,True
200,0.25,1.0,6.017165193933659,0.39,4.572380853195265,2.411067157592761e-06,True
200,0.25,1.0,8.890455021952437,0.385,4.409081537009721,5.190496920048915e-06,True
200,0.25,1.0,4.157288705884831,0.395,4.735680169380811,1.0916082668899207e-06,True
200,0.25,1.0,12.641770585202641,0.52,8.818163074019441,0.0,True
200,0.25,1.0,5.207231789879539,0.45,6.531972647421808,3.2454483545052426e-11,True
200,0.25,1.0,7.084064376048942,0.39,4.572380853195265,2.411067157592761e-06,True
200,0.25,1.0,10.373101195109463,0.405,5.062278801751901,2.071372966483409e-07,True
200,0.25,1.0,4.640146941416019,0.455,6.695271963607354,1.0763612223740893e-11,True
200,0.25,1.0,5.09468043494932,0.495,8.001666493091715,6.661338147750939e-16,True
200,0.5,1.0,3.199537868172673,0.63,3.676955262170047,0.00011801720826465356,False
200,0.5,1.0,3.7286345321527703,0.62,3.394112549695428,0.00034425694832251885,False
200,0.5,1.0,9.107431870602367,0.705,5.79827560572969,3.3500138219011433e-09,True
200,0.5,1.0,5.463139968427074,0.755,7.212489168102785,2.7466917629226373e-13,True
200,0.5,1.0,12.439283740390813,0.755,7.212489168102785,2.7466917629226373e-13,True
200,0.5,1.0,7.2143886660545835,0.685,5.232590180780451,8.357552894189268e-08,True
200,0.5,1.0,4.222638689931416,0.625,3.5355339059327373,0.00020347600872250293,False
200,0.5,1.0,5.898084222781284,0.655,4.384062043356595,5.82432868356797e-06,True
200,0.5,1.0,6.4843148905060515,0.655,4.384062043356595,5.82432868356797e-06,True
200,0.5,1.0,7.43963876956824,0.74,6.788225099390856,5.676126235698575e-12,True
200,0.5,1.0,8.09649958284432,0.69,5.374011537017761,3.850196372834347e-08,True
200,0.5,1.0,5.843331314952074,0.72,6.222539674441618,2.4458546299399586e-10,True
200,0.5,1.0,2.6815408297921546,0.855,10.040916292848975,0.0,True
200,0.5,1.0,7.602368000935224,0.64,3.959797974644666,3.7506597332703784e-05,False
200,0.5,1.0,10.945557375295776,0.7,5.65685424949238,7.708628957381336e-09,True
200,0.5,1.0,9.346181215829121,0.72,6.222539674441618,2.4458546299399586e-10,True
200,0.5,1.0,4.750362745249123,0.79,8.202438661763951,1.1102230246251565e-16,True
200,0.5,1.0,5.564251295637154,0.71,5.939696961966999,1.4277470317125562e-09,True
200,0.5,1.0,3.299446964494209,0.665,4.666904755831213,1.528854898236176e-06,True
200,0.25,0.0,5.717375782490962,0.3,1.632993161855452,0.05123521742987469,False
200,0.25,0.0,4.516304823006186,0.26,0.32659863237109044,0.3719857390375285,False
200,0.25,0.0,6.16868856561881,0.275,0.816496580927726,0.20710808912126255,False
200,0.25,0.0,3.422411467669005,0.235,-0.48989794855663565,0.687896942616797,False
200,0.25,0.0,7.427522347015512,0.305,1.7962924780409972,0.03622400676489357,False
200,0.25,0.0,6.867578756232245,0.285,1.1430952132988164,0.12649953073734221,False
200,0.25,0.0,5.314325333217683,0.27,0.6531972647421809,0.25681455669656206,False
200,0.25,0.0,5.499957904386926,0.28,0.9797958971132713,0.16359343889515277,False
200,0.25,0.0,7.078121804757294,0.245,-0.16329931618554522,0.564858613859482,False
200,0.25,0.0,7.080091675752921,0.285,1.1430952132988164,0.12649953073734221,False
200,0.25,0.0,4.914278396262875,0.295,1.469693845669907,0.07082234514756847,False
200,0.25,0.0,7.174931226795288,0.23,-0.6531972647421809,0.7431854433034379,False
200,0.25,0.0,12.982737339332024,0.245,-0.16329931618554522,0.564858613859482,False
200,0.25,0.0,11.936440420788307,0.195,-1.7962924780409972,0.9637759932351064,False
200,0.25,0.0,5.337111639377546,0.28,0.9797958971132713,0.16359343889515277,False
200,0.25,0.0,8.047490301902641,0.235,-0.48989794855663565,0.687896942616797,False
200,0.25,0.0,5.79988810954132,0.285,1.1430952132988164,0.12649953073734221,False
